merchant_name,merchant_url,merchant_category,merchant_tags
Espresso Mafia Coffee,http://espressomafiagirona.com/,Food And Drink,"'{""Cafe""}'"
Artique,http://www.artiqueshopping.com/,House And Garden,"'{""Household Equipment""}'"
Amsterdam UMC (locatie VUmc),https://www.vumc.nl/,Food And Drink,"'{""Hospital""}'"
Hotel Sokol,http://hotel-sokol.cz/,Travel,"'{""Accommodations"",""Hotels And Guesthouses""}'"
Grounded,https://www.facebook.com/groundedcoffee/,Food And Drink,"'{""Cafe""}'"
Voglio Pizza,https://www.vogliopizza.ro/,Food And Drink,"'{""Restaurant""}'"
Z herbáře,http://zherbare.cz/kontakt/,Consumer Goods,"'{""Florists""}'"
M&M retail,https://www.emis.com/php/company-profile/RO/M___M_Retail_SRL_en_3162498.html,Fashion,"'{""Fashion Chain - Mix""}'"
mp3.sk,https://www.mp3.sk/,Digital Services,"'{""Shopping Online"",""Online Digital Services""}'"
Parkhaus Sonnenhof,http://www.center-sonnenhof.ch/,Car,"'{""Parking""}'"
Hair Studio Tiskárna,http://www.hairstudiotiskarna.cz/,Beauty,"'{""Hairdressers"",""Beauty Service""}'"
Autex Car,https://autexcar.hyundai.cz/,Car,"'{""Car Sales""}'"
ARTWERK Michał Gan,https://mapa.targeo.pl/artwerk-michal-gan-os-boleslawa-chrobrego-25-60-681-poznan~11685693/przedsiebiorstwo-firma/adres,Food And Drink,"'{""Restaurant""}'"
Regatta,http://www.regatta.pl/,Sport,"'{""Sportswear"",""Sports And Outdoor Equipment""}'"
Daniel's Burger,http://www.daniels-burger.cz/,Food And Drink,"'{""Restaurant"",""Steak House / Burgers""}'"
Macari's Diner,https://www.macarisdiner.ie/,Food And Drink,"'{""Restaurant""}'"
Euromaterna,http://www.euromaterna.ro/,Health,"'{""Hospital""}'"
Eso drogéria,https://www.esodrogeria.eu/,Drugstore,"'{""Drugstore""}'"
Restoran Controvento,http://www.controvento.ee/,Food And Drink,"'{""Restaurant""}'"
Hennessy's Bar,https://www.facebook.com/hennessys.bar.5,Food And Drink,"'{""Bar"",""Drinking""}'"
Obiady Jak u Mamy,http://www.obiady-jak-u-mamy.pl/,Food And Drink,"'{""Restaurant""}'"
KB Car,https://kbcarlbc.hyundai.cz/,Car,"'{""Insurance"",""Car Sales""}'"
Berlin,https://www.listafirme.ro/berlin-srl-6332807/,Consumer Goods,"'{""Consumer Goods - Mix""}'"
Stavis,http://www.staviscs.cz/,House And Garden,"'{""Tools"",""Reconstruction""}'"
VBH Estonia,https://www.vbh.ee/,House And Garden,"'{""Household Equipment""}'"
Stará čistírna odpadních vod,http://www.staracistirna.cz/,Food And Drink,"'{""Cafe""}'"
Savannah,http://www.savannah.ee/,Beauty,"'{""Beauty Salon"",""Beauty Service""}'"
Antonios Epam Fleris,https://www.vrisko.gr/en/details/2b61cfa1ac1k451ad56272_0013_62__,Car,"'{""Gas Station""}'"
PFP Energy,http://www.pfpenergy.co.uk/,Bills And Household,"'{""Energy And Utilities""}'"
Haarlemse Versmarkt,https://marsmanplein.nl/project/haarlemse-versmarkt/,Groceries,"'{""Groceries - Other""}'"
Restaurace U Vodárny,http://restaurace-uvodarny.cz/,Food And Drink,"'{""Restaurant""}'"
Kelly Lou Cakes,http://www.kellylou.com/,Food And Drink,"'{""Cafe"",""Restaurant"",""Groceries - Other"",""Bakery""}'"
TOPS,https://www.facebook.com/kohviktops/,Food And Drink,"'{""Bar"",""Drinking""}'"
ILUSAATKOND,http://www.ilusaatkond.ee/,Beauty,"'{""Beauty Salon"",""Beauty Service""}'"
Wink Eten & Drinken,http://www.caferestaurantwink.nl/,Food And Drink,"'{""Restaurant""}'"
Autoshine Car Wash,http://facebook.com/Autoshine-Car-Wash-1163246527090462/,Car,"'{""Car - Washing""}'"
Pernik,https://pernik.bg/,Bills And Household,"'{""Administrative Fees""}'"
Hotel Gabreta,http://www.hotelgabretasusice.cz/,Travel,"'{""Accommodations"",""Hotels And Guesthouses""}'"
Aeronautica Militare,https://www.aeronauticamilitare.cz/prodejny/aeronautica-militare-praha-cerny-most/,Fashion,"'{""Clothing - Other""}'"
Chacharova Hasičárna Havířov - Chacharova Pizza,https://hasicarnahavirov.hasicarnapubs.cz/,Food And Drink,"'{""Bar"",""Restaurant"",""Drinking""}'"
Cukrárna Kafárna Panorama,https://www.facebook.com/cukrarnakafarna.panoramazlin,Food And Drink,"'{""Cafe"",""Groceries - Other"",""Bakery""}'"
Coffeeshop De Kade,https://www.facebook.com/pages/category/Bar/Coffeeshop-De-kade-567909080039111/,Consumer Goods,"'{""Tobacco And Smoking Supplies"",""Cannabis""}'"
NIKOLEX Monika Ciesielska,https://majacentrum.pl/kontakt,House And Garden,"'{""Garden centre"",""Garden""}'"
Květiny1.cz,http://www.kvetiny1.cz/,Consumer Goods,"'{""Florists""}'"
Cafeneaua,http://www.cafeneauapiataunirii.ro/,Food And Drink,"'{""Bar"",""Cafe"",""Music Club"",""Drinking""}'"
Restaurace a penzion U Zámku Bečov,http://www.penzion-uzamku.cz,Food And Drink,"'{""Accommodations"",""Restaurant"",""Hotels And Guesthouses""}'"
Devergo,missing note,Fashion,"'{""Clothing - Other""}'"
Keep Smile Klinika,http://keepsmileklinika.cz/,Health,"'{""Clinic"",""Dentistry""}'"
Relaxx,https://relaxx-bar-altoetting.business.site/?utm_source=gmb&utm_medium=referral,Food And Drink,"'{""Bar"",""Drinking""}'"
Valent,http://valentsro.6f.sk/,Electronics,"'{""Electronics Goods""}'"
MMN,http://www.nemsem.cz/,Health,"'{""Hospital""}'"
Warszawskie ZOO,https://zoo.waw.pl/,Freetime,"'{""Excursions And Tourist Attractions"",""Zoo"",""Freetime Activity""}'"
4Mobility Car Sharing,https://4mobility.pl/,Car,"'{""Shopping Online"",""Carsharing"",""Online Car"",""Eco""}'"
MASALA Royale,https://www.restu.cz/masala-royale-pruhonice/,Food And Drink,"'{""Restaurant"",""Indian Restaurant""}'"
Restaurace LaRocket Liberec,http://www.larocket-liberec.cz/kontakty/,Food And Drink,"'{""Restaurant"",""Czech Restaurant""}'"
OneCall24,https://onecall24.co.uk,Professional Services,"'{""HR/Headhunting""}'"
Zkušební provoz,https://www.tripadvisor.com/Restaurant_Review-g274707-d11865333-Reviews-Zkusebni_Provoz-Prague_Bohemia.html,Food And Drink,"'{""Restaurant""}'"
D & A Factors,http://www.dafactors.co.uk/,Car,"'{""Car Repair Shop""}'"
NANE SHOP 225200,http://225200.RO,Fashion,"'{""Fanshop"",""Clothing - Other""}'"
Opuscard,http://www.opuscard.cz/kontakty/klientske-centrum-opuscard,Travel,"'{""Public Transport"",""Local Transport"",""Eco""}'"
Hotel Petra,https://www.hotelpetra.cz/,Travel,"'{""Accommodations"",""Hotels And Guesthouses""}'"
CPC Farnell,https://cpc.farnell.com/,Electronics,"'{""Electronics Goods""}'"
Tarmo Häng FIE,https://www.inforegister.ee/10414719-TARMO-HANG,Car,"'{""Car Repair Shop""}'"
Royal Gyógyszertár,http://royalpatika.hu/,Health,"'{""Pharmacy""}'"
Apache Pizza Dun Laoghaire,http://www.apache.ie/,Food And Drink,"'{""Restaurant""}'"
U Dvou strašidel,https://udvoustrasidel.business.site/,Food And Drink,"'{""Bar"",""Restaurant"",""Drinking""}'"
JazzBook,https://www.facebook.com/JazzBook/,Food And Drink,"'{""Bar"",""Restaurant"",""Drinking""}'"
Broers Burgers en Friet,http://www.broersburgersenfriet.nl/,Food And Drink,"'{""Restaurant""}'"
Clinica Stomatologică Ceradent,https://ceradent.ro/,Health,"'{""Clinic"",""Dentistry""}'"
D-Maso,http://www.d-maso.cz/,Groceries,"'{""Groceries - Other"",""Butcher Shop""}'"
FAB Bakery,https://www.facebook.com/freshartisanbread/,Groceries,"'{""Groceries - Other"",""Bakery""}'"
Le Club Mougins,https://www.diamondresortsandhotels.com/Resorts/Le-Club-Mougins?mkc=EUROSAVE&utm_source=google&utm_medium=organic&utm_campaign=gmb-listing&utm_content=gmb-listing_weblink,Travel,"'{""Accommodations""}'"
Big Boy,http://www.bigboy.com/,Food And Drink,"'{""Restaurant""}'"
Golful Pescarilor,http://www.golfulpescarilor.ro/,Food And Drink,"'{""Restaurant""}'"
Supersol Supermercados,http://en.supersol.es/shops/,Groceries,"'{""Hyper-Supermarket""}'"
Imelihtne kohvik,http://www.imelihtnekohvik.ee/,Groceries,"'{""Groceries - Other"",""Bakery""}'"
Ibi Trade Market,https://www.dnb.com/business-directory/company-profiles.ibi_trade_market_srl.c1f95ddedf4a0010e8d35ae5fb073604.html,Groceries,"'{""Groceries - Other""}'"
HA Drogéria,https://www.facebook.com/pg/HaDrogeria/about/,Drugstore,"'{""Drugstore""}'"
Movelia,https://www.movelia.es,Travel,"'{""Shopping Online""}'"
China Restaurant King To,https://china-restaurant-king-to.business.site/?utm_source=gmb&utm_medium=referral,Food And Drink,"'{""Restaurant""}'"
Flavours In The Garden,http://flavours.ro/locatie/flavours-in-the-garden/,Food And Drink,"'{""Restaurant""}'"
Mugg Uggly,https://instagram.com/mugguggly?igshid=ir14mwzq2yr9,Food And Drink,"'{""Cafe""}'"
BMW Motorrad Service,https://www.bmw-motorrad.it/gecar-chiavari/it/home.html,Car,"'{""Car Repair Shop""}'"
Babiččina cukrárna,https://www.babiccina-cukrarna.cz/,Food And Drink,"'{""Sweetshop""}'"
Záložna Breva,http://www.zaloznabreva.sk/,Consumer Goods,"'{""Consumer Goods - Mix""}'"
looke.cz,http://www.looke.cz,Fashion,"'{""Clothing - Other""}'"
Cardiff University Students' Union,https://www.cardiffstudents.com/,Professional Services,"'{""Associations""}'"
Vitanella,https://www.vitanella.sk/,Beauty,"'{""Cosmetics / Perfumery""}'"
HAN FOOD,https://www.hanfood.cz/,Food And Drink,"'{""Restaurant"",""Asian Cuisine""}'"
Recharge,https://www.recharge.com/en,Digital Services,"'{""Shopping Online"",""Subscription"",""Online Digital Services""}'"
Farby Lux,https://www.farbylux.sk/,House And Garden,"'{""Reconstruction""}'"
Glacio,https://www.glacio.sk/,Food And Drink,"'{""Cafe""}'"
Cummins Sports,https://www.cumminssports.ie,Sport,"'{""Sportswear"",""Sports And Outdoor Equipment""}'"
Veterinární klinika Hradec Králové,https://www.veterinahk.cz/index.php/kontakt/,Pets,"'{""Veterinary""}'"
Kantýna Jifra,http://www.kantynajifra.cz/,Food And Drink,"'{""Restaurant Without A Waiter"",""Canteen""}'"
EMBER Kebab,https://www.facebook.com/emberkebab/,Food And Drink,"'{""Restaurant Without A Waiter"",""Kebab""}'"
Medium,https://medium.com/,Digital Services,"'{""Various Digital Services""}'"
GOL Airlines,https://www.voegol.com.br/en,Travel,"'{""Air Tickets"",""Long Distance Transport""}'"
Pekárny NOPEK,https://www.nopek.cz/,Groceries,"'{""Groceries - Other"",""Bakery""}'"
Warren James,https://www.warrenjames.co.uk/,Fashion,"'{""Fashion Accessories"",""Jewellery""}'"
Bleble,http://www.bleble.sk/,Children,"'{""Childrens Equipment""}'"
Penzion a restaurace Na Bojišti,http://www.nabojisti.cz/kontakt,Food And Drink,"'{""Accommodations"",""Restaurant"",""Hotels And Guesthouses""}'"
assu2000.fr,https://www.assu2000.fr/,Financial Services,"'{""Shopping Online""}'"
Studio Jasyko,http://www.jasyko.cz/,Electronics,"'{""Electronics Goods"",""Audio Technics""}'"
Asana stav,http://www.asanastav.cz/seznam/kontakt/kontakt.htm,Professional Services,"'{""Construction Industry"",""Services - Mix""}'"
bilete.ro,https://www.bilete.ro/,Culture,"'{""Tickets-Booking"",""Shopping Online""}'"
The Ship Inn,https://www.shipinn.scot/,Travel,"'{""Accommodations"",""Restaurant"",""Drinking""}'"
Lion sport,http://www.lionsport.cz/,Sport,"'{""Sportswear"",""Sports And Outdoor Equipment""}'"
Nářadí Lukovský,https://www.naradilukovsky.cz/,House And Garden,"'{""Tools"",""Reconstruction""}'"
Browar Rzemieślniczy Piekarnia Piwa,https://piekarniapiwa.pl/strona-glowna/,Food And Drink,"'{""Beer-Cellar"",""Drinking""}'"
Fresh UTD,https://www.freshutd.sk/,Food And Drink,"'{""Restaurant"",""Italian Restaurant / Pizzeria""}'"
Craaf,http://www.craaf.cz/,Fashion,"'{""Clothing - Other""}'"
Nevila,https://nevila.ro/,Groceries,"'{""Groceries - Other""}'"
Pizzburg,http://www.pizzburg.cz/,Food And Drink,"'{""Restaurant"",""Italian Restaurant / Pizzeria"",""Steak House / Burgers"",""Online Food And Drink""}'"
Top Battery,https://www.topbattery.cz,Car,"'{""Spare Parts - Accessories""}'"
Taproom,http://www.taproom.nl/,Food And Drink,"'{""Beer-Cellar"",""Drinking""}'"
digitalstores.co.uk,https://www.digitalstores.co.uk/,Digital Services,"'{""Software / Applications"",""Shopping Online""}'"
Propertia Medica,https://www.tvojlekar.sk/36424838/propertia-medica-s-r-o,Health,"'{""Pharmacy""}'"
Al Meswak Dental Clinics,https://www.facebook.com/almeswakdental/,Health,"'{""Clinic"",""Dentistry""}'"
Medichem Pharmacy,http://medichemonline.co.uk/pharmacy.html,Health,"'{""Pharmacy""}'"
Modestia,http://www.modestia.cz/prodejny.php,Fashion,"'{""Clothing - Other""}'"
Tech Data,https://nl.techdata.com/,Digital Services,"'{""Shopping Online""}'"
Parkeergarage Centrum,https://www.goes.nl/,Car,"'{""Parking""}'"
Végardó Fürdő,https://vegardofurdo.hu/,Freetime,"'{""Freetime Activity""}'"
Digital Park parking,https://www.digitalpark.sk/o-projekte/,Car,"'{""Parking""}'"
Ziko Apteka,https://www.e-zikoapteka.pl/,Health,"'{""Pharmacy""}'"
Brutăria cu Maia,http://brutariacumaia.ro/,Groceries,"'{""Groceries - Other"",""Bakery""}'"
Diana Smile,http://www.dianasmile.ro/,Health,"'{""Clinic"",""Dentistry""}'"
CarSmart,http://carsmart.eu/,Car,"'{""Car Repair Shop""}'"
Automix,http://www.automixdubnica.sk/,Car,"'{""Car Repair Shop""}'"
Agapé Café/Restaurant,https://agape-food-bar.business.site/?utm_source=gmb&utm_medium=referral,Food And Drink,"'{""Cafe"",""Restaurant""}'"
Showboat Hotel Atlantic City,https://www.showboathotelac.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,Travel,"'{""Accommodations"",""Bar"",""Restaurant"",""Hotels And Guesthouses"",""Drinking""}'"
Rudas Gyógyfürdő,http://www.rudasfurdo.hu/,Beauty,"'{""Wellness"",""Excursions And Tourist Attractions"",""Freetime Activity"",""Beauty Service""}'"
Teeristi kohvik,https://www.facebook.com/teeristikohvik/?rf=151770801593192,Food And Drink,"'{""Cafe""}'"
S.M.Seruya,http://www.smseruya.com/,Beauty,"'{""Cosmetics / Perfumery""}'"
Cabinet Medical Veterinar Zalau,http://www.cabinetveterinarzalau.ro/,Pets,"'{""Veterinary""}'"
Murray’s Pub,http://www.murraysbarandgrill.ie/,Food And Drink,"'{""Bar"",""Restaurant"",""Music Club"",""Drinking""}'"
PBZ Banka,http://www.pbz.hr/,Financial Services,"'{""Bank""}'"
LK denta,http://www.lkdenta.cz,Health,"'{""Clinic"",""Dentistry""}'"
Gavroche,https://restaurantgavroche.ro/,Food And Drink,"'{""Restaurant""}'"
Richard Walker's Pancake House,http://richardwalkers.com/,Food And Drink,"'{""Restaurant""}'"
Accademia del Buon Gusto,http://www.accademia.cz,Food And Drink,"'{""Bar"",""Alcohol"",""Drinking""}'"
Lennys Grill & Subs,http://www.lennys.com/,Food And Drink,"'{""Restaurant""}'"
FiveStar,http://www.fivestarfoodmart.com/,Groceries,"'{""Groceries - Other""}'"
Black Royal,https://blackroyal.cz/,Food And Drink,"'{""Restaurant""}'"
The Carpenter,http://www.thecarpenterpub.com/,Food And Drink,"'{""Bar"",""Restaurant"",""Drinking""}'"
Angelo's Pizza,http://www.angelospizza.nl/,Food And Drink,"'{""Restaurant""}'"
Rogelli,http://www.rogelli.pl,Sport,"'{""Sportswear"",""Sports And Outdoor Equipment""}'"
Antonius Hotell,http://hotelantonius.ee/,Travel,"'{""Accommodations"",""Hotels And Guesthouses""}'"
Prikem Color,http://www.prikem.ee/,House And Garden,"'{""Household Equipment""}'"
Merseyrail,http://MERSEYRAIL.ORG,Travel,"'{""Train"",""Long Distance Transport"",""Eco""}'"
Hôtel et restaurant Les Armures,https://www.lesarmures.ch/restaurant,Food And Drink,"'{""Restaurant""}'"
T1 Mall,https://t1tallinn.com/kohale-tulemine/,Culture,"'{""Restaurant"",""Theater""}'"
Harry's Bar,https://harrysgalway.ie/,Food And Drink,"'{""Bar"",""Restaurant"",""Drinking""}'"
The Lo-cal Kitchen,http://www.thelo-calkitchen.ie/,Food And Drink,"'{""Restaurant""}'"
Eamonn Gillen & Sons,https://eamonn-gillen-sons.business.site/,Groceries,"'{""Groceries - Other""}'"
OnOff,https://onoff.ee/,Electronics,"'{""Electronics Goods""}'"
Amber Komputery ( Sprzedaż i Serwis),http://amberkomputery.pl/,Electronics,"'{""Electronics Goods""}'"
Reštaurácia Pub El Diabolo,http://www.restauraciaeldiabolo.sk/,Food And Drink,"'{""Restaurant""}'"
Salón QUATRO-Jitka Piesche,https://vlasy-liberec.webnode.cz/,Beauty,"'{""Hairdressers"",""Beauty Service""}'"
The Showroom curated by Share This Space,http://www.sharethisspace.ae/,Consumer Goods,"'{""Department Store""}'"
Cabana Stejarilor,http://www.cabanastejarilor.ro/,Food And Drink,"'{""Restaurant""}'"
Barber Black,http://www.barberblack.ro/,Beauty,"'{""Hairdressers"",""Beauty Service""}'"
Rannapaargu,http://www.rannapaargu.ee/?y_source=1_OTExODA4NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ==,Food And Drink,"'{""Restaurant""}'"
ParcelBroker,https://parcelbroker.co.uk/,Professional Services,"'{""Delivery Service""}'"
Muziekcafé De Paap,http://www.depaap.nl/,Food And Drink,"'{""Bar"",""Cafe"",""Drinking""}'"
JKL Comfort - spodní prádlo Kojál,http://www.vevyskove.cz/,Consumer Goods,"'{""Department Store""}'"
KC Peaches Cafe St. Stephen's Green,http://www.kcpeaches.com/,Food And Drink,"'{""Cafe"",""Restaurant""}'"
Certa Fuel Letterkenny,https://www.certafuel.ie/?utm_source=google&utm_medium=gmb&utm_campaign=letterkenny,Car,"'{""Gas Station""}'"
Percy's Place,https://www.facebook.com/percysplacecasselton/,Food And Drink,"'{""Cafe""}'"
Hotel Bouchalka,http://www.bouchalka.cz/,Travel,"'{""Accommodations"",""Restaurant"",""Hotels And Guesthouses""}'"
Jiffy Lube,https://www.jiffylube.com/locations/in/indianapolis/2364,Car,"'{""Car Repair Shop""}'"
FullDent,http://www.fulldent.cz/,Health,"'{""Clinic"",""Dentistry""}'"
Svítíme.eu,http://www.svitime.eu/,House And Garden,"'{""Household Equipment""}'"
Joom,http://JOOM.COM,Shopping Online,"'{""Eshop With Everything""}'"
Zufall *TANKEN+RASTEN*,http://www.zufall-kassel.de/,Car,"'{""Gas Station"",""Cafe"",""Car - Washing""}'"
Łagów Manor,http://www.palac-lagow.pl/,Travel,"'{""Accommodations"",""Restaurant"",""Hotels And Guesthouses""}'"
Car Cosmetic Center,https://www.facebook.com/carcosmeticcenter/,Car,"'{""Car Services""}'"
VinCaffé,http://www.vincaffe.cz/,Food And Drink,"'{""Cafe""}'"
Martin’s pizza,https://www.martins-pizza.cz/,Food And Drink,"'{""Restaurant""}'"
ellivisage hairdresser,http://www.ellivisage.cz/,Beauty,"'{""Hairdressers"",""Beauty Service""}'"
Dogtor Cat,http://www.dogtorcat.vet/,Pets,"'{""Pharmacy"",""Veterinary""}'"
Jupol-Car,http://www.avis.pl/;%20www.budget.pl,Travel,"'{""Car Rentals"",""Long Distance Transport""}'"
PURE Hair Studio,http://www.purehairstudio.cz/,Beauty,"'{""Hairdressers"",""Beauty Service""}'"
Drak&Finch,https://www.drakfinch.com/,Food And Drink,"'{""Bar"",""Cafe"",""Drinking""}'"
Pizzica,https://www.facebook.com/pizzicapizza,Food And Drink,"'{""Restaurant""}'"
Whittingtons,http://www.whittingtons.biz/,Consumer Goods,"'{""Florists""}'"
BALNEO Lípa,https://www.balneolipa.cz/,Health,"'{""Clinic"",""Rehabilitation""}'"
Pension U Lilie,http://www.pensionulilie.cz/,Travel,"'{""Accommodations"",""Hotels And Guesthouses""}'"
Ermistu Puhkeküla,http://www.ermistu.ee/,Travel,"'{""Accommodations"",""Camp""}'"
chef Piripiri,http://chefpiripiri.nl/,Food And Drink,"'{""Restaurant""}'"
OC Convent parking,https://www.convent.cz/,Consumer Goods,"'{""Department Store""}'"
Pääsukese Lilleäri,http://www.paasukese.ee/,Consumer Goods,"'{""Florists""}'"
Kihnu Museum,https://www.facebook.com/Kihnu-Muuseum-578646628827026/,Culture,"'{""Exhibition""}'"
Siili pubi,http://siil.ee/,Food And Drink,"'{""Restaurant""}'"
Dentální studio KPD,http://dentalnistudiokpd.cz/,Health,"'{""Clinic"",""Dentistry""}'"
Sakko Commercial,http://www.sakkocommercial.nl/tankstations,Car,"'{""Gas Station""}'"
Barberisimo,https://www.bucuresti365.ro/firme/saloane-de-infrumusetare-sector-4/barbers-blade-by-giuliano-preturi,Beauty,"'{""Hairdressers"",""Beauty Service""}'"
Kavárna GEKON,http://www.pekarnasitna.cz/,Food And Drink,"'{""Cafe"",""Groceries - Other"",""Bakery""}'"
Canifel-Vet,https://canifel-vet-srl.business.site/,Pets,"'{""Veterinary""}'"
Víno AZ,http://vinoaz.sk/index.php?route=information/information&information_id=4,Groceries,"'{""Alcohol""}'"
